Chamado,InicioData,InicioHora,NormalizacaoData,NormalizacaooHora,Interrupcao,Funcionalidade,Item de Configuracao,Causa da Falha,Area,Node
55383,19/9/2014, 17:06,20/9/2014, 07:00,13:53:51,Node,GERAL,CABO ÓPTICO ROMPIDO,ULR,5
55384,19/9/2014, 17:06,20/9/2014, 07:00,13:53:17,Node,GERAL,CABO ÓPTICO ROMPIDO,ULR,6
55385,19/9/2014, 17:07,19/9/2014, 07:00,13:53:00,Node,GERAL,CABO ÓPTICO ROMPIDO,ULR,7
55386,19/9/2014, 17:08,20/9/2014, 07:00,13:51:33,Node,GERAL,CABO ÓPTICO ROMPIDO,ULR,8
55387,19/9/2014, 17:09,20/9/2014, 07:00,13:50:26,Node,GERAL,CABO ÓPTICO ROMPIDO,ULR,10
54653,1/9/2014 ,08:30,1/9/2014, 13:40,5:09:05,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,21
54654,1/9/2014 ,08:31,1/9/2014, 09:10,0:38:47,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,20
54665,1/9/2014, 12:04,1/9/2014, 21:45,9:40:31,Rede Externa,MB,MÓDULO RF QUEIMADO,URA,43
54674,1/9/2014, 13:36,1/9/2014, 19:40,6:03:43,Rede Externa,PASSIVOS,CONEXÃO DANIFICADA,URA,3
54676,1/9/2014, 13:44,1/9/2014, 15:33,1:48:27,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,URA,3
54681,1/9/2014, 14:50,1/9/2014, 21:00,6:09:12,Rede Externa,PASSIVOS,DANIFICADO,URA,6
54687,1/9/2014, 15:45,2/9/2014, 09:30,2:00:00,Rede Externa,CMTS,MAU CONTATO EM CONECTOR,URA,42
54699,1/9/2014, 18:50,1/9/2014, 22:30,3:39:20,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,URA,1
54706,2/9/2014, 10:02,2/9/2014, 11:35,1:32:36,Node,GERAL,RUÍDO INTERMITENTE,URA,42
54708,2/9/2014, 10:28,2/9/2014, 14:18,3:49:19,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,URA,24
